date,match_number,city,team_1,team_2,outcome_winner,player_of_match,toss_winner,toss_decision,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method
2013-04-11,12,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,field,DC Boon,KN Ananthapadmanabhan,S Asnani,Asad Rauf,AK Chaudhary,8.0,2013,MChinnaswamyStadium,,group_stage,regular
2013-04-11,13,Pune,Rajasthan Royals,Pune Warriors,Pune Warriors,AJ Finch,Rajasthan Royals,bat,RS Madugalle,PG Pathak,VA Kulkarni,M Erasmus,K Srinath,7.0,2013,SubrataRoySaharaStadium,,group_stage,regular
2013-04-12,14,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,A Mishra,Delhi Daredevils,bat,AJ Pycroft,K Bharatan,C Shamshuddin,Aleem Dar,Subroto Das,3.0,2013,FerozShahKotla,,group_stage,regular
2013-04-13,15,Mumbai,Mumbai Indians,Pune Warriors,Mumbai Indians,RG Sharma,Mumbai Indians,bat,DC Boon,RM Deshpande,CK Nandan,S Ravi,SJA Taufel,,2013,WankhedeStadium,41.0,group_stage,regular
2013-04-13,16,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,RA Jadeja,Chennai Super Kings,field,J Srinath,K Srinivasan,S Asnani,Asad Rauf,AK Chaudhary,4.0,2013,MAChidambaramStadium,,group_stage,regular
2013-04-14,17,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,bat,RS Madugalle,AS Pathania,K Srinath,M Erasmus,VA Kulkarni,,2013,EdenGardens,48.0,group_stage,regular
2013-04-14,18,Jaipur,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,JP Faulkner,Rajasthan Royals,field,AJ Pycroft,Tapan Sharma,S Das,Aleem Dar,C Shamshuddin,6.0,2013,SawaiMansinghStadium,,group_stage,regular
2013-04-15,19,Chennai,Pune Warriors,Chennai Super Kings,Pune Warriors,SPD Smith,Pune Warriors,bat,RR Jadeja,K Srinivasan,S Asnani,Asad Rauf,AK Chaudhary,,2013,MAChidambaramStadium,24.0,group_stage,regular
2013-04-16,20,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,MS Gony,Kolkata Knight Riders,field,RS Mahanama,,HDPK Dharmasena,CK Nandan,SJA Taufel,,2013,PunjabCricketAssociationStadium,4.0,group_stage,regular
2013-04-16,21,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,tie,V Kohli,Royal Challengers Bangalore,field,RS Madugalle,KN Ananthapadmanabhan,K Srinath,M Erasmus,VA Kulkarni,,2013,MChinnaswamyStadium,,group_stage,regular
2013-04-17,22,Pune,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,A Mishra,Pune Warriors,field,J Srinath,PG Pathak,S Asnani,Asad Rauf,AK Chaudhary,,2013,MaharashtraCricketAssociationStadium,11.0,group_stage,regular
2013-04-17,23,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,AM Rahane,Rajasthan Royals,bat,AJ Pycroft,Tapan Sharma,S Das,Aleem Dar,C Shamshuddin,,2013,SawaiMansinghStadium,87.0,group_stage,regular
2013-04-18,24,Delhi,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,RS Madugalle,K Bharatan,K Srinath,M Erasmus,VA Kulkarni,,2013,FerozShahKotla,86.0,group_stage,regular
2013-04-19,25,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,GH Vihari,Kings XI Punjab,bat,RS Mahanama,A Nand Kishore,,HDPK Dharmasena,CK Nandan,5.0,2013,RajivGandhiInternationalStadium,,group_stage,regular
2013-04-20,26,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,RA Jadeja,Kolkata Knight Riders,bat,Raju Mukherjee,AS Pathania,S Asnani,Asad Rauf,AK Chaudhary,4.0,2013,EdenGardens,,group_stage,regular
2013-04-20,27,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,R Vinay Kumar,Royal Challengers Bangalore,field,AJ Pycroft,KN Ananthapadmanabhan,S Das,Aleem Dar,C Shamshuddin,7.0,2013,MChinnaswamyStadium,,group_stage,regular
2013-04-21,28,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,V Sehwag,Mumbai Indians,bat,RS Mahanama,K Bharatan,CK Nandan,HDPK Dharmasena,S Ravi,9.0,2013,FerozShahKotla,,group_stage,regular
2013-04-21,29,Chandigarh,Pune Warriors,Kings XI Punjab,Kings XI Punjab,DA Miller,Kings XI Punjab,field,RS Madugalle,Nitin Menon,VA Kulkarni,M Erasmus,K Srinath,7.0,2013,PunjabCricketAssociationStadium,,group_stage,regular
2013-04-22,30,Chennai,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,MEK Hussey,Rajasthan Royals,bat,RR Jadeja,K Srinivasan,Asad Rauf,S Asnani,AK Chaudhary,5.0,2013,MAChidambaramStadium,,group_stage,regular
2013-04-23,31,Bangalore,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,CH Gayle,Pune Warriors,field,AJ Pycroft,KN Ananthapadmanabhan,S Das,Aleem Dar,C Shamshuddin,,2013,MChinnaswamyStadium,130.0,group_stage,regular
2013-04-23,32,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Harmeet Singh,Kings XI Punjab,field,RS Madugalle,K Bharatan,M Erasmus,VA Kulkarni,K Srinath,5.0,2013,FerozShahKotla,,group_stage,regular
2013-04-24,33,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,DR Smith,Kolkata Knight Riders,bat,RS Mahanama,AS Pathania,CK Nandan,HDPK Dharmasena,S Ravi,5.0,2013,EdenGardens,,group_stage,regular
2013-04-25,34,Chennai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,MS Dhoni,Sunrisers Hyderabad,bat,AJ Pycroft,K Srinivasan,C Shamshuddin,Aleem Dar,S Das,5.0,2013,MAChidambaramStadium,,group_stage,regular
2013-04-26,35,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,JH Kallis,Kings XI Punjab,bat,RS Mahanama,AS Pathania,HDPK Dharmasena,CK Nandan,S Ravi,6.0,2013,EdenGardens,,group_stage,regular
2013-04-27,36,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,JP Faulkner,Sunrisers Hyderabad,bat,RS Madugalle,Tapan Sharma,M Erasmus,VA Kulkarni,K Srinath,8.0,2013,SawaiMansinghStadium,,group_stage,regular
2013-04-27,37,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,DR Smith,Mumbai Indians,bat,J Srinath,RM Deshpande,AK Chaudhary,Asad Rauf,S Asnani,,2013,WankhedeStadium,58.0,group_stage,regular
2013-04-28,38,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,MEK Hussey,Kolkata Knight Riders,field,AJ Pycroft,K Srinivasan,C Shamshuddin,Aleem Dar,SJA Taufel,,2013,MAChidambaramStadium,14.0,group_stage,regular
2013-04-28,39,Raipur,Delhi Daredevils,Pune Warriors,Delhi Daredevils,DA Warner,Pune Warriors,field,RS Mahanama,VK Sharma,HDPK Dharmasena,CK Nandan,S Ravi,,2013,ShaheedVeerNarayanSinghInternationalStadium,15.0,group_stage,regular
2013-04-29,40,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,SV Samson,Rajasthan Royals,field,RS Madugalle,Tapan Sharma,VA Kulkarni,M Erasmus,K Srinath,4.0,2013,SawaiMansinghStadium,,group_stage,regular
2013-04-29,41,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,RG Sharma,Mumbai Indians,bat,J Srinath,RM Deshpande,S Asnani,Asad Rauf,AK Chaudhary,,2013,WankhedeStadium,4.0,group_stage,regular
2013-04-30,42,Pune,Chennai Super Kings,Pune Warriors,Chennai Super Kings,MS Dhoni,Chennai Super Kings,bat,AJ Pycroft,PG Pathak,Aleem Dar,S Das,SJA Taufel,,2013,SubrataRoySaharaStadium,37.0,group_stage,regular
2013-05-01,43,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,I Sharma,Mumbai Indians,bat,J Srinath,A Nand Kishore,AK Chaudhary,Asad Rauf,S Asnani,7.0,2013,RajivGandhiInternationalStadium,,group_stage,regular
2013-05-01,44,Raipur,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,DA Warner,Kolkata Knight Riders,bat,RS Mahanama,VK Sharma,S Ravi,HDPK Dharmasena,CK Nandan,7.0,2013,ShaheedVeerNarayanSinghInternationalStadium,,group_stage,regular
2013-05-02,45,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,SK Raina,Chennai Super Kings,bat,Raju Mukherjee,K Srinivasan,NJ Llong,M Erasmus,VA Kulkarni,,2013,MAChidambaramStadium,15.0,group_stage,regular
2013-05-02,46,Pune,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,bat,AJ Pycroft,PG Pathak,Subroto Das,Aleem Dar,C Shamshuddin,,2013,SubrataRoySaharaStadium,17.0,group_stage,regular
2013-05-03,47,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,YK Pathan,Rajasthan Royals,bat,RS Mahanama,AS Pathania,S Ravi,HDPK Dharmasena,CK Nandan,8.0,2013,EdenGardens,,group_stage,regular
2013-05-04,48,Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,DJG Sammy,Delhi Daredevils,bat,J Srinath,A Nand Kishore,AK Chaudhary,Asad Rauf,S Asnani,6.0,2013,RajivGandhiInternationalStadium,,group_stage,regular
2013-05-05,49,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,MG Johnson,Mumbai Indians,bat,RS Mahanama,RM Deshpande,S Ravi,HDPK Dharmasena,CK Nandan,,2013,WankhedeStadium,60.0,group_stage,regular
2013-05-05,50,Jaipur,Pune Warriors,Rajasthan Royals,Rajasthan Royals,AM Rahane,Pune Warriors,bat,AJ Pycroft,Tapan Sharma,Aleem Dar,C Shamshuddin,RJ Tucker,5.0,2013,SawaiMansinghStadium,,group_stage,regular
2013-05-06,51,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,DA Miller,Kings XI Punjab,field,RR Jadeja,Nitin Menon,K Srinath,VA Kulkarni,NJ Llong,6.0,2013,PunjabCricketAssociationStadium,,group_stage,regular
2013-05-07,52,Jaipur,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,AM Rahane,Delhi Daredevils,bat,AJ Pycroft,Tapan Sharma,C Shamshuddin,Aleem Dar,RJ Tucker,9.0,2013,SawaiMansinghStadium,,group_stage,regular
2013-05-07,53,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,SR Tendulkar,Mumbai Indians,bat,RS Mahanama,RM Deshpande,CK Nandan,HDPK Dharmasena,S Ravi,,2013,WankhedeStadium,65.0,group_stage,regular
2013-05-08,54,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,SK Raina,Sunrisers Hyderabad,field,Raju Mukherjee,A Nand Kishore,K Srinath,S Das,NJ Llong,,2013,RajivGandhiInternationalStadium,77.0,group_stage,regular
2013-05-09,55,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,KK Cooper,Rajasthan Royals,field,RS Mahanama,Nitin Menon,CK Nandan,HDPK Dharmasena,S Ravi,8.0,2013,PunjabCricketAssociationStadium,,group_stage,regular
2013-05-09,56,Pune,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,bat,J Srinath,PG Pathak,SJA Taufel,Asad Rauf,S Asnani,,2013,SubrataRoySaharaStadium,46.0,group_stage,regular
2013-05-10,57,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,JD Unadkat,Delhi Daredevils,field,RS Madugalle,K Bharatan,VA Kulkarni,NJ Llong,K Srinath,,2013,FerozShahKotla,4.0,group_stage,regular
2013-05-11,58,Pune,Pune Warriors,Mumbai Indians,Mumbai Indians,MG Johnson,Pune Warriors,bat,J Srinath,RM Deshpande,S Asnani,Asad Rauf,AK Chaudhary,5.0,2013,SubrataRoySaharaStadium,,group_stage,regular
2013-05-11,59,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,PA Patel,Kings XI Punjab,field,AJ Pycroft,Nitin Menon,C Shamshuddin,S Das,RJ Tucker,,2013,PunjabCricketAssociationStadium,30.0,group_stage,regular
2013-05-12,60,Ranchi,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,JH Kallis,Kolkata Knight Riders,field,RS Madugalle,PK Khakhar,VA Kulkarni,NJ Llong,K Srinath,5.0,2013,JSCAInternationalStadiumComplex,,group_stage,regular
2013-05-12,61,Jaipur,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,SR Watson,Rajasthan Royals,field,RS Mahanama,Tapan Sharma,S Ravi,HDPK Dharmasena,CK Nandan,5.0,2013,SawaiMansinghStadium,,group_stage,regular
2013-05-13,62,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,KA Pollard,Sunrisers Hyderabad,bat,RR Jadeja,RM Deshpande,Asad Rauf,AK Chaudhary,SJA Taufel,7.0,2013,WankhedeStadium,,group_stage,regular
2013-05-14,63,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,AC Gilchrist,Kings XI Punjab,field,RS Mahanama,KN Ananthapadmanabhan,CK Nandan,HDPK Dharmasena,S Ravi,7.0,2013,MChinnaswamyStadium,,group_stage,regular
2013-05-14,64,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,MS Dhoni,Chennai Super Kings,bat,AJ Pycroft,K Srinivasan,S Das,C Shamshuddin,RJ Tucker,,2013,MAChidambaramStadium,33.0,group_stage,regular
2013-05-15,65,Ranchi,Pune Warriors,Kolkata Knight Riders,Pune Warriors,MK Pandey,Kolkata Knight Riders,field,RS Madugalle,PK Khakhar,VA Kulkarni,NJ Llong,K Srinath,,2013,JSCAInternationalStadiumComplex,7.0,group_stage,regular
2013-05-15,66,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,AP Tare,Rajasthan Royals,field,RR Jadeja,PG Pathak,AK Chaudhary,Asad Rauf,S Asnani,,2013,WankhedeStadium,14.0,group_stage,regular
2013-05-16,67,Dharamsala,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,DA Miller,Delhi Daredevils,field,RS Mahanama,Nitin Menon,CK Nandan,HDPK Dharmasena,S Ravi,,2013,HimachalPradeshCricketAssociationStadium,7.0,group_stage,regular
2013-05-17,68,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,A Mishra,Sunrisers Hyderabad,bat,J Srinath,A Nand Kishore,S Asnani,Asad Rauf,AK Chaudhary,,2013,RajivGandhiInternationalStadium,23.0,group_stage,regular
2013-05-18,69,Dharamsala,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Azhar Mahmood,Mumbai Indians,field,RS Mahanama,,S Ravi,HDPK Dharmasena,CK Nandan,,2013,HimachalPradeshCricketAssociationStadium,50.0,group_stage,regular
2013-05-18,70,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,V Kohli,Chennai Super Kings,field,AJ Pycroft,KN Ananthapadmanabhan,S Das,C Shamshuddin,RJ Tucker,,2013,MChinnaswamyStadium,24.0,group_stage,regular
2013-05-19,71,Pune,Pune Warriors,Delhi Daredevils,Pune Warriors,LJ Wright,Pune Warriors,bat,RS Madugalle,PG Pathak,VA Kulkarni,NJ Llong,SJA Taufel,,2013,SubrataRoySaharaStadium,38.0,group_stage,regular
2013-05-19,72,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,PA Patel,Kolkata Knight Riders,bat,Raju Mukherjee,A Nand Kishore,AK Chaudhary,Asad Rauf,S Asnani,5.0,2013,RajivGandhiInternationalStadium,,group_stage,regular
2013-05-21,Qualifier 1,Delhi,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,RS Mahanama,CK Nandan,S Ravi,NJ Llong,RJ Tucker,,2013,FerozShahKotla,48.0,Qualifier 1,regular
2013-05-22,Eliminator,Delhi,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,BJ Hodge,Sunrisers Hyderabad,bat,RS Mahanama,CK Nandan,NJ Llong,S Ravi,RJ Tucker,4.0,2013,FerozShahKotla,,Eliminator,regular
2013-05-24,Qualifier 2,Kolkata,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Harbhajan Singh,Rajasthan Royals,bat,RS Madugalle,K Srinath,HDPK Dharmasena,C Shamshuddin,SJA Taufel,4.0,2013,EdenGardens,,Qualifier 2,regular
2013-05-26,Final,Kolkata,Mumbai Indians,Chennai Super Kings,Mumbai Indians,KA Pollard,Mumbai Indians,bat,RS Madugalle,K Srinath,C Shamshuddin,HDPK Dharmasena,SJA Taufel,,2013,EdenGardens,23.0,Final,regular
2014-04-16,1,Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,JH Kallis,Kolkata Knight Riders,bat,AJ Pycroft,K Srinath,BF Bowden,M Erasmus,RK Illingworth,,2014,SheikhZayedStadium,41.0,group_stage,regular
2014-04-17,2,Sharjah,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,YS Chahal,Royal Challengers Bangalore,field,GF Labrooy,K Bharatan,VA Kulkarni,Aleem Dar,S Ravi,8.0,2014,SharjahCricketStadium,,group_stage,regular
2014-04-18,3,Abu Dhabi,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,GJ Maxwell,Chennai Super Kings,bat,AJ Pycroft,K Srinath,BF Bowden,RK Illingworth,C Shamshuddin,6.0,2014,SheikhZayedStadium,,group_stage,regular
2014-04-18,4,Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,AM Rahane,Rajasthan Royals,field,AJ Pycroft,K Srinath,C Shamshuddin,BF Bowden,RK Illingworth,4.0,2014,SheikhZayedStadium,,group_stage,regular
2014-04-19,5,Dubai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,PA Patel,Royal Challengers Bangalore,field,GF Labrooy,K Srinivasan,VA Kulkarni,Aleem Dar,AK Chaudhary,7.0,2014,DubaiInternationalCricketStadium,,group_stage,regular
2014-04-19,6,Dubai,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,JP Duminy,Kolkata Knight Riders,bat,GF Labrooy,K Srinivasan,AK Chaudhary,Aleem Dar,VA Kulkarni,4.0,2014,DubaiInternationalCricketStadium,,group_stage,regular
2014-04-20,7,Sharjah,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,GJ Maxwell,Kings XI Punjab,field,AJ Pycroft,K Bharatan,S Ravi,BF Bowden,M Erasmus,7.0,2014,SharjahCricketStadium,,group_stage,regular
2014-04-21,8,Abu Dhabi,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,SK Raina,Chennai Super Kings,bat,GF Labrooy,K Srinath,HDPK Dharmasena,RK Illingworth,C Shamshuddin,,2014,SheikhZayedStadium,93.0,group_stage,regular
2014-04-22,9,Sharjah,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,GJ Maxwell,Sunrisers Hyderabad,field,AJ Pycroft,K Bharatan,BF Bowden,M Erasmus,S Ravi,,2014,SharjahCricketStadium,72.0,group_stage,regular
2014-04-23,10,Dubai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,RA Jadeja,Rajasthan Royals,field,GF Labrooy,K Srinivasan,C Shamshuddin,HDPK Dharmasena,RK Illingworth,,2014,DubaiInternationalCricketStadium,7.0,group_stage,regular
2014-04-24,11,Sharjah,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,CA Lynn,Royal Challengers Bangalore,field,AJ Pycroft,K Bharatan,AK Chaudhary,Aleem Dar,VA Kulkarni,,2014,SharjahCricketStadium,2.0,group_stage,regular
2014-04-25,12,Dubai,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,AJ Finch,Sunrisers Hyderabad,bat,GF Labrooy,K Srinivasan,BF Bowden,M Erasmus,S Ravi,,2014,DubaiInternationalCricketStadium,4.0,group_stage,regular
2014-04-25,13,Dubai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,MM Sharma,Mumbai Indians,bat,GF Labrooy,K Srinivasan,S Ravi,BF Bowden,M Erasmus,7.0,2014,DubaiInternationalCricketStadium,,group_stage,regular
2014-04-26,14,Abu Dhabi,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,PV Tambe,Rajasthan Royals,field,AJ Pycroft,K Srinath,RK Illingworth,HDPK Dharmasena,C Shamshuddin,6.0,2014,SheikhZayedStadium,,group_stage,regular
2014-04-26,15,Abu Dhabi,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Sandeep Sharma,Kolkata Knight Riders,field,AJ Pycroft,K Srinath,C Shamshuddin,HDPK Dharmasena,RK Illingworth,,2014,SheikhZayedStadium,23.0,group_stage,regular
2014-04-27,16,Sharjah,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,M Vijay,Mumbai Indians,bat,GF Labrooy,K Bharatan,AK Chaudhary,Aleem Dar,VA Kulkarni,6.0,2014,SharjahCricketStadium,,group_stage,regular
2014-04-27,17,Sharjah,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,DR Smith,Sunrisers Hyderabad,bat,GF Labrooy,K Bharatan,Aleem Dar,AK Chaudhary,VA Kulkarni,5.0,2014,SharjahCricketStadium,,group_stage,regular
2014-04-28,18,Dubai,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Sandeep Sharma,Kings XI Punjab,field,AJ Pycroft,K Srinivasan,M Erasmus,BF Bowden,S Ravi,5.0,2014,DubaiInternationalCricketStadium,,group_stage,regular
2014-04-29,19,Abu Dhabi,Rajasthan Royals,Kolkata Knight Riders,tie,JP Faulkner,Rajasthan Royals,bat,GF Labrooy,K Srinath,VA Kulkarni,Aleem Dar,AK Chaudhary,,2014,SheikhZayedStadium,,group_stage,regular
2014-04-30,20,Dubai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,B Kumar,Mumbai Indians,field,AJ Pycroft,K Srinivasan,S Ravi,HDPK Dharmasena,M Erasmus,,2014,DubaiInternationalCricketStadium,15.0,group_stage,regular
2014-05-02,21,Ranchi,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,RA Jadeja,Chennai Super Kings,bat,J Srinath,AY Dandekar,CK Nandan,AK Chaudhary,NJ Llong,,2014,JSCAInternationalStadiumComplex,34.0,group_stage,regular
2014-05-03,22,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,CJ Anderson,Kings XI Punjab,bat,RS Madugalle,R Pandit,RM Deshpande,BNJ Oxenford,C Shamshuddin,5.0,2014,WankhedeStadium,,group_stage,regular
2014-05-03,23,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,KK Nair,Rajasthan Royals,field,AJ Pycroft,Navdeep Singh,K Srinath,SS Hazare,S Ravi,7.0,2014,FerozShahKotla,,group_stage,regular
2014-05-04,24,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,field,RS Mahanama,J Madanagopal,PG Pathak,HDPK Dharmasena,VA Kulkarni,4.0,2014,MChinnaswamyStadium,,group_stage,regular
2014-05-05,25,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,PV Tambe,Kolkata Knight Riders,field,RS Madugalle,Nitin Menon,AK Chaudhary,NJ Llong,CK Nandan,,2014,SardarPatelStadium,10.0,group_stage,regular
2014-05-05,26,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,DR Smith,Chennai Super Kings,field,J Srinath,Navdeep Singh,C Shamshuddin,RM Deshpande,BNJ Oxenford,8.0,2014,FerozShahKotla,,group_stage,regular
2014-05-06,27,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,RG Sharma,Royal Challengers Bangalore,field,AJ Pycroft,R Pandit,SS Hazare,S Ravi,K Srinath,,2014,WankhedeStadium,19.0,group_stage,regular
2014-05-07,28,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir,Delhi Daredevils,bat,J Srinath,Navdeep Singh,RM Deshpande,BNJ Oxenford,C Shamshuddin,8.0,2014,FerozShahKotla,,group_stage,regular
2014-05-07,29,Cuttack,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,GJ Maxwell,Chennai Super Kings,field,RS Mahanama,UV Gandhe,VA Kulkarni,HDPK Dharmasena,PG Pathak,,2014,BarabatiStadium,44.0,group_stage,regular
2014-05-08,30,Ahmedabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,B Kumar,Rajasthan Royals,field,RS Madugalle,Nitin Menon,CK Nandan,AK Chaudhary,NJ Llong,,2014,SardarPatelStadium,32.0,group_stage,regular
2014-05-09,31,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Sandeep Sharma,Royal Challengers Bangalore,field,AJ Pycroft,KN Ananthapadmanabhan,K Srinivasan,S Ravi,K Srinath,,2014,MChinnaswamyStadium,32.0,group_stage,regular
2014-05-10,32,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,DW Steyn,Sunrisers Hyderabad,field,J Srinath,Navdeep Singh,C Shamshuddin,RM Deshpande,BNJ Oxenford,8.0,2014,FerozShahKotla,,group_stage,D/L
2014-05-10,33,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,DR Smith,Chennai Super Kings,field,RS Mahanama,R Pandit,PG Pathak,HDPK Dharmasena,VA Kulkarni,4.0,2014,WankhedeStadium,,group_stage,regular
2014-05-11,34,Cuttack,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,field,RS Madugalle,UV Gandhe,AK Chaudhary,NJ Llong,CK Nandan,9.0,2014,BarabatiStadium,,group_stage,regular
2014-05-11,35,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,JP Faulkner,Royal Challengers Bangalore,bat,AJ Pycroft,KN Ananthapadmanabhan,K Srinath,S Ravi,RJ Tucker,5.0,2014,MChinnaswamyStadium,,group_stage,regular
